detected_at,dq_issue_id,issue_detail,issue_type,severity,source_business_key,source_table_name
2026-02-22 22:02:43,1,active_sales_hc: 7.0 vs 19.0 (source_row=271),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 81, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,2,active_non_producing_sales_hc: 2.0 vs 13.0 (source_row=271),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 81, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,3,funded_units_in_cost_center: 18.0 vs 50.0 (source_row=271),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 81, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,4,funded_volume_in_cost_center: 9433525.0 vs 15125609.0 (source_row=271),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 81, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,5,funded_units_by_vp: 7.0 vs 9.0 (source_row=271),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 81, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,6,funded_volume_by_vp: 3965600.0 vs 3548227.0 (source_row=271),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 81, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,7,rent_bom_amt: 10266.21 vs 6087.5 (source_row=271),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 81, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,8,active_sales_hc: 2.0 vs 14.0 (source_row=304),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 22, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,9,active_non_producing_sales_hc: 1.0 vs 6.0 (source_row=304),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 22, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,10,funded_units_in_cost_center: 6.0 vs 33.0 (source_row=304),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 22, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,11,funded_volume_in_cost_center: 1225394.0 vs 10073187.0 (source_row=304),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 22, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,12,funded_units_by_vp: 6.0 vs 5.0 (source_row=304),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 22, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,13,funded_volume_by_vp: 1225394.0 vs 1450864.0 (source_row=304),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 22, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,14,rent_bom_amt: 250.0 vs 3118.46 (source_row=304),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 22, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,15,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=337),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,16,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=338),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
