adj_type_group_id,adj_type_id,allocation_bucket_id,company_id,compensafe_amt,compensafe_bps,compensafe_bucket_id,compensafe_event_date,compensafe_event_id,cra_net_amt,cra_paid_amt,cra_traded_amt,department_id,employee_id,inclusion_reason_id,insert_user_id,inserted_at,loan_id,net_spec_amt,payroll_reg_earnings_bom_amt,product_id,rent_bom_amt,reporting_period_id,source_row_hash,spec_bulk_adj_amt,spec_paid_amt,spec_traded_amt,state_id,vp_id
1,1,1,1,,-12.5113,1,2023-08-17,1,0,0,0,1,1,1,1,,1,,,1,77.5,1,bd4f0ef41339e0e9267cf4ca7368ea7a0c51351a,,-1509.375,2385.351563,1,1
2,2,2,1,,6.41,1,2023-08-17,2,,,,2,2,2,1,,2,,,2,4232,1,d66f4e6690607d1c447b922988a2974e8a23e490,,,,2,2
1,3,1,1,,-0.0132,1,2015-10-26,3,,,,3,3,2,1,,2,,,2,4232,1,73fbc29148ee3b9c28c1c928bacdc563e51f5929,,,,2,2
1,1,1,1,,-0.7941,1,2015-10-26,4,,,,4,4,2,1,,2,,,2,4232,1,587b64273ba81bcb171ab99f8edf9890f168fa31,,,,2,2
3,4,3,1,,-5.0395,2,2015-10-26,5,,,,5,5,2,1,,2,,,2,4232,1,3c8bb55a210006ac02049fadf18d48670af4e096,,,,2,2
1,1,1,1,,-0.4137,1,2012-11-16,6,,,,6,6,2,1,,2,,,2,4232,1,c5bdb3fad977a17ec631a142b4f9a0cbbec973a3,,,,2,2
4,5,4,1,,0.1429,2,2012-11-16,7,,,,2,7,1,1,,3,,,3,,1,5b041a617894924a8d628f22fd10512f0f28e06c,,,,3,3
5,6,5,1,,-0.0457,1,2012-11-16,8,,,,2,7,1,1,,3,,,3,,1,16d1c662203d60d7d12fb196dbdb736c6c83f524,,,,3,3
1,3,1,1,,-0.0005,1,2023-06-28,9,,,,1,8,1,1,,3,,,3,,1,b5011a1aad24006f68e392c868e3e5431cd1d048,,,,3,3
1,3,1,1,,-0.0005,1,2023-06-28,10,,,,3,9,1,1,,3,,,3,,1,815c5deb4691f5ec7709a2a75f93024c60224f48,,,,3,3
1,7,1,1,,-0.002,1,2022-04-25,11,,,,7,10,1,1,,3,,,3,,1,83821d136ddf8cf1586fa368890ee2dc10126417,,,,3,3
1,1,1,1,,-0.3093,1,2022-04-25,12,,,,7,10,1,1,,3,,,3,,1,f277a919039601c55b3d78b3757940924992958c,,,,3,3
1,7,1,1,,-0.0697,1,2022-04-25,13,,,,8,11,1,1,,4,,,4,383.5,1,b689d7bf00f38ecb84417dad399039362b25c96e,,,,4,4
1,7,1,1,,-0.0003,1,2022-04-25,14,,,,3,12,1,1,,4,,,4,383.5,1,8bc1510da4baa69d22745fcba25642b62bcc05e8,,,,4,4
1,3,1,1,,-0.0368,1,2021-08-27,15,,,,3,13,1,1,,5,,,5,,1,131a5dfc5eab6e98030507b15fa26ebad101b3cf,,,,5,5
5,8,5,1,,-0.3532,1,2021-08-27,16,1678.875,0,1678.875,2,14,1,1,,6,-167.8875,,6,3367.14,1,b56c6fb85f180454ffe4c716243efe94e503dfe6,0,-167.8875,17.488281,6,6
1,1,1,1,,-3.9349,1,2021-08-27,17,1678.875,0,1678.875,3,15,1,1,,6,-167.8875,,6,3367.14,1,6655c7305d5be96dcc60df55127733d1abd85a64,0,-167.8875,17.488281,6,6
3,9,6,1,,-5.0002,2,2021-08-27,18,1678.875,0,1678.875,9,16,1,1,,6,-167.8875,,6,3367.14,1,1feee93b0eeeee22091182eb9a60ea47a28ac6b0,0,-167.8875,17.488281,6,6
1,3,1,1,,-4.3442,1,2021-08-27,19,1678.875,0,1678.875,2,17,1,1,,6,-167.8875,,6,3367.14,1,b7d5104020f7716f2a4adda8de128a49b669e1b3,0,-167.8875,17.488281,6,6
1,1,1,1,,-1.0459,1,2021-08-27,20,0,0,0,3,18,1,1,,7,500,,7,231.06,1,a3395f20a8c5bd3a919a4e017fd0b0fb28000553,1625,-1125,1053,1,7
2,2,2,1,,18.8045,1,2023-08-17,21,0,0,0,2,19,1,1,,7,500,,7,231.06,1,0bf31897013bdaecb69532fdf2313f447501d6cd,1625,-1125,1053,1,7
1,7,1,1,,-0.006,1,2023-08-17,22,0,0,0,2,20,1,1,,7,500,,7,231.06,1,b9716cd807a562373c1455695fcbd7c94cc6f34d,1625,-1125,1053,1,7
1,1,1,1,,-1.3211,1,2020-04-21,23,2123.375,0,2123.375,3,21,1,1,,8,0,,7,,1,9fe82ac3e8eb196b13a52a9e346eb44ba1f586e3,0,0,0,4,8
1,1,1,1,,-3.6316,1,2020-04-21,24,2123.375,0,2123.375,1,22,1,1,,8,0,,7,,1,e630e56310189c61991655c0a049e29dc53d04f4,0,0,0,4,8
3,9,6,1,,-0.7001,2,2020-04-21,25,0,0,0,10,23,1,1,,9,0,,7,,1,b944d309e87a736aed3375af8797a98274ed27f2,0,0,0,7,9
