corporate_allocation_after_exclusions_amt,corporate_allocation_amt,corporate_allocation_bps,gl_exception_amt,gl_exception_bps,gl_fee_income_amt,gl_fee_income_bps,gl_gos_amt,gl_gos_bps,gl_oi_amt,gl_oi_bps,llr_amt,llr_bps,loan_fin_component_id,loan_id,los_exception_amt,los_exception_bps,los_revenue_amt,los_revenue_bps,reporting_period_id,source_insert_datetime
-4024.4976,-287.4783,-287.4783,8.2997,8.2997,76.0777,76.0777,253,253,85,85,-3,-3,1,1,8.3003,8.3003,271.5,271.5,1,
-4060.6951,-208.2563,-208.2563,22.3001,22.3001,31.4942,31.4942,95,95,160,160,-3.0002,-3.0002,2,2,22.3001,22.3001,200,200,1,
-4012.2729,-14.1688,-14.1688,-7.3,-7.3,2.785,2.785,62.4,62.4,25,25,-3,-3,3,3,-7.3,-7.3,50,50,1,
-3241.4852,-72.798,-72.798,-25,-25,20.1032,20.1032,129.5,129.5,124,124,-3,-3,4,4,-25,-25,214,214,1,
-3545.5074,-74.7964,-74.7964,36.8,36.8,-50.6991,-50.6991,132.5,132.5,79.2,79.2,-3,-3,5,5,36.8,36.8,248.5,248.5,1,
-4196.5514,-221.5323,-221.5323,11.1999,11.1999,54.2086,54.2086,112,112,98,98,-3.0002,-3.0002,6,6,11.1999,11.1999,221.3,221.3,1,
-4319.6748,-495.9,-495.9,-13,-13,159.322,159.322,243,243,125,125,-3,-3,7,7,-13,-13,113.3,113.3,1,
-3972.4472,-146.9333,-146.9333,2.2999,2.2999,48.2764,48.2764,163,163,24,24,-3,-3,8,8,2.3001,2.3001,189.8,189.8,1,
-4558.1939,-111.3131,-111.3131,-15.6999,-15.6999,35.7874,35.7874,183,183,106,106,-3,-3,9,9,-15.7001,-15.7001,272.7,272.7,1,
-3973.573,-122.7475,-122.7475,2.4,2.4,33.6592,33.6592,155,155,24,24,-3,-3,10,10,2.4,2.4,181.4,181.4,1,
-3731.4675,-61.9875,-61.9875,-0.9,-0.9,10.5075,10.5075,113.3,113.3,137.5,137.5,-3,-3,11,11,-0.9,-0.9,116.8,116.8,1,
-4186.4443,-107.6289,-107.6289,4.9999,4.9999,32.4606,32.4606,148,148,84.9999,84.9999,-3.0001,-3.0001,12,12,5.0001,5.0001,238,238,1,
-3874.9539,-114.7837,-114.7837,-8.8001,-8.8001,25.9975,25.9975,217,217,100,100,-3,-3,13,13,-8.8001,-8.8001,224.3,224.3,1,
-4339.0636,-101.411,-101.411,18.2,18.2,31.9759,31.9759,138,138,40.9,40.9,-3,-3,14,14,18.2,18.2,233.3,233.3,1,
-4062.7885,-103.0711,-103.0711,-23.3,-23.3,14.3948,14.3948,230.1999,230.1999,100,100,-3.0001,-3.0001,15,15,-23.3,-23.3,289.6,289.6,1,
-3477.3535,-55.7191,-55.7191,0.6,0.6,15.8929,15.8929,48,48,22.5,22.5,-3,-3,16,16,0.6,0.6,124,124,1,
-3465.7754,-151.7391,-151.7391,,,36.1928,36.1928,150,150,210,210,-3,-3,17,17,0.7,0.7,161.6,161.6,1,
0,,,,,-100.7,-100.7,,,,,-3,-3,18,18,-656,-656,0,0,1,
-3928.4571,-117.1775,-117.1775,34.4001,34.4001,23.3883,23.3883,100,100,100,100,-3.0001,-3.0001,19,19,34.4001,34.4001,237.5,237.5,1,
