active_non_producing_sales_hc,active_sales_hc,company_id,department_id,funded_units_by_vp,funded_units_in_cost_center,funded_volume_by_vp,funded_volume_in_cost_center,payroll_reg_earnings_bom_amt,rent_bom_amt,reporting_period_id,vp_id,workforce_snapshot_id
0,1,1,1,9,9,2092560,2092560,,77.5,1,1,1
3,6,1,2,2,7,660870,2256355,,4232,1,2,2
3,6,1,3,2,7,660870,2256355,,4232,1,2,3
3,6,1,4,2,7,660870,2256355,,4232,1,2,4
3,6,1,5,2,7,660870,2256355,,4232,1,2,5
3,6,1,6,2,7,660870,2256355,,4232,1,2,6
1,2,1,2,12,12,7600750,7600750,,,1,3,7
1,2,1,1,12,12,7600750,7600750,,,1,3,8
1,2,1,3,12,12,7600750,7600750,,,1,3,9
1,2,1,7,12,12,7600750,7600750,,,1,3,10
1,3,1,8,3,4,1437400,1837400,,383.5,1,4,11
1,3,1,3,3,4,1437400,1837400,,383.5,1,4,12
0,1,1,3,9,9,4773361,4773361,,,1,5,13
1,4,1,2,15,20,8272065,9760564,,3367.14,1,6,14
1,4,1,3,15,20,8272065,9760564,,3367.14,1,6,15
1,4,1,9,15,20,8272065,9760564,,3367.14,1,6,16
1,3,1,3,2,6,369000,1418785,,231.06,1,7,17
1,3,1,2,2,6,369000,1418785,,231.06,1,7,18
2,6,1,3,6,39,2434482,15863938,,,1,8,19
2,6,1,1,6,39,2434482,15863938,,,1,8,20
1,2,1,10,6,6,2389403,2389403,,,1,9,21
1,2,1,11,6,6,2389403,2389403,,,1,9,22
1,2,1,2,6,6,2389403,2389403,,,1,9,23
2,6,1,1,20,39,7486371,15863938,,,1,10,24
0,1,1,2,2,2,1052000,1052000,,773.06,1,11,25
0,1,1,3,3,3,1745750,1745750,,276.27,1,12,26
0,1,1,6,3,3,1745750,1745750,,276.27,1,12,27
0,2,1,2,2,3,754522,1203522,,35.18,1,13,28
1,4,1,3,6,10,2445959,4576453,,,1,14,29
1,4,1,2,6,10,2445959,4576453,,,1,14,30
0,1,1,5,3,3,2778124,2778124,,,1,15,31
0,1,1,8,3,3,2778124,2778124,,,1,15,32
0,1,1,1,8,8,4327600,4327600,,,1,16,33
0,1,1,11,8,8,4327600,4327600,,,1,16,34
0,1,1,10,8,8,4327600,4327600,,,1,16,35
0,1,1,3,8,8,4327600,4327600,,,1,16,36
0,1,1,2,8,8,4327600,4327600,,,1,16,37
4,6,2,2,12,14,3535256,4166806,,4220.16,1,17,38
0,4,2,8,3,13,804590,5917661,,1000,1,18,39
2,4,2,8,3,4,1392958,1752958,,833,1,19,40
2,4,2,2,3,4,1392958,1752958,,833,1,19,41
2,4,2,4,3,4,1392958,1752958,,833,1,19,42
1,4,2,1,1,9,193800,1680804,,5365.52,1,20,43
1,4,2,5,1,9,193800,1680804,,5365.52,1,20,44
1,4,2,4,1,9,193800,1680804,,5365.52,1,20,45
1,4,2,3,1,9,193800,1680804,,5365.52,1,20,46
1,4,2,2,1,9,193800,1680804,,5365.52,1,20,47
6,10,2,4,5,13,1327414,2482885,,2000,1,21,48
6,10,2,3,5,13,1327414,2482885,,2000,1,21,49
6,10,2,2,5,13,1327414,2482885,,2000,1,21,50
1,2,2,3,6,6,1225394,1225394,,250,1,22,51
